,dynamic_x,dynamic_y,fixed_x,fixed_y
928,-0.8659999999999999,-0.25681701683328967,-0.8659999999999999,-0.2580343829738451
929,-0.8639999999999999,-0.2568219656109109,-0.8639999999999999,-0.2580391702283619
930,-0.8619999999999999,-0.2568273274774362,-0.8619999999999999,-0.25804437603842556
931,-0.8599999999999999,-0.2568330963117871,-0.8599999999999999,-0.2580499944922055
932,-0.8579999999999999,-0.25683926545997077,-0.8579999999999999,-0.2580560191413917
933,-0.8559999999999999,-0.25684582773507986,-0.8559999999999999,-0.2580624430011943
934,-0.8539999999999999,-0.2568527754172923,-0.8539999999999999,-0.25806925855034374
935,-0.8519999999999999,-0.25686010025387157,-0.8519999999999999,-0.25807645773109095
936,-0.8499999999999999,-0.25686779345916655,-0.8499999999999999,-0.258084031949207
937,-0.8479999999999999,-0.2568758457146116,-0.8479999999999999,-0.25809197207398343
938,-0.8459999999999999,-0.25688424716872643,-0.8459999999999999,-0.25810026843823203
939,-0.8439999999999999,-0.2568929874371162,-0.8439999999999999,-0.25810891083828497
940,-0.8419999999999999,-0.2569020556024716,-0.8419999999999999,-0.2581178885339947
941,-0.8399999999999999,-0.2569114402145687,-0.8399999999999999,-0.25812719024873404
942,-0.8379999999999999,-0.25692112929026895,-0.8379999999999999,-0.25813680416939605
943,-0.8359999999999999,-0.2569311103135193,-0.8359999999999999,-0.2581467179463942
944,-0.8339999999999999,-0.2569413702353522,-0.8339999999999999,-0.2581569186936623
945,-0.8319999999999999,-0.2569518954738853,-0.8319999999999999,-0.25816739298865443
946,-0.8299999999999998,-0.25696267191432204,-0.8299999999999998,-0.25817812687234504
947,-0.8279999999999998,-0.256973684908951,-0.8279999999999998,-0.25818910584922894
948,-0.8259999999999998,-0.25698491927714634,-0.8259999999999998,-0.2582003148873211
949,-0.8239999999999998,-0.2569963593053676,-0.8239999999999998,-0.258211738418157
950,-0.8219999999999998,-0.2570079887471598,-0.8219999999999998,-0.25822336033679233
951,-0.8199999999999998,-0.25701979082315335,-0.8199999999999998,-0.25823516400180324
952,-0.8179999999999998,-0.25703174822106406,-0.8179999999999998,-0.2582471322352861
953,-0.8159999999999998,-0.2570438430956934,-0.8159999999999998,-0.2582592473228576
954,-0.8139999999999998,-0.2570560570689279,-0.8139999999999998,-0.2582714910136548
955,-0.8119999999999998,-0.25706837122973997,-0.8119999999999998,-0.2582838445203351
956,-0.8099999999999998,-0.25708076613418707,-0.8099999999999998,-0.2582962885190762
957,-0.8079999999999998,-0.2570932218054123,-0.8079999999999998,-0.2583088031495761
958,-0.8059999999999998,-0.2571057177336441,-0.8059999999999998,-0.25832136801505323
959,-0.8039999999999998,-0.25711823287619645,-0.8039999999999998,-0.2583339621822462
960,-0.802,-0.25713074565746874,-0.802,-0.258346564181414
961,-0.8,-0.25714323396894573,-0.8,-0.2583591520063361
962,-0.798,-0.2571556751691977,-0.798,-0.25837170311431207
963,-0.796,-0.2571680460838802,-0.796,-0.25838419442616195
964,-0.794,-0.2571803230057345,-0.794,-0.258396602326226
965,-0.792,-0.2571924816945871,-0.792,-0.25840890266236494
966,-0.79,-0.2572044973773499,-0.79,-0.2584210707459597
967,-0.788,-0.25721634474802035,-0.788,-0.2584330813519116
968,-0.786,-0.2572279979676814,-0.786,-0.25844490871864234
969,-0.784,-0.2572394306645013,-0.784,-0.25845652654809376
970,-0.782,-0.2572506159337337,-0.782,-0.2584679080057282
971,-0.78,-0.25726152633771787,-0.78,-0.25847902572052833
