,6 Hz_x,6 Hz_y,8 Hz_x,8 Hz_y,10 Hz_x,10 Hz_y,12 Hz_x,12 Hz_y,16 Hz_x,16 Hz_y
204,-0.8999999999999999,0.0,-0.8999999999999999,0.0,-0.8999999999999999,0.0,-0.8999999999999999,0.0,-0.8999999999999999,0.0
205,-0.8900000000000001,0.0,-0.8900000000000001,0.0,-0.8900000000000001,0.0,-0.8900000000000001,0.0,-0.8900000000000001,0.0
206,-0.8799999999999999,0.0,-0.8799999999999999,0.0,-0.8799999999999999,0.0,-0.8799999999999999,0.0,-0.8799999999999999,0.0
207,-0.8700000000000001,0.0,-0.8700000000000001,0.0,-0.8700000000000001,0.0,-0.8700000000000001,0.0,-0.8700000000000001,0.0
208,-0.8599999999999999,0.0,-0.8599999999999999,0.0,-0.8599999999999999,0.0,-0.8599999999999999,0.0,-0.8599999999999999,0.0
209,-0.8500000000000001,0.0,-0.8500000000000001,0.0,-0.8500000000000001,0.0,-0.8500000000000001,0.0,-0.8500000000000001,0.0
210,-0.8399999999999999,0.0,-0.8399999999999999,0.0,-0.8399999999999999,0.0,-0.8399999999999999,0.0,-0.8399999999999999,0.0
211,-0.8300000000000001,0.0,-0.8300000000000001,0.0,-0.8300000000000001,0.0,-0.8300000000000001,0.0,-0.8300000000000001,0.0
212,-0.8199999999999998,0.0,-0.8199999999999998,0.0,-0.8199999999999998,0.0,-0.8199999999999998,0.0,-0.8199999999999998,0.0
213,-0.81,0.0,-0.81,0.0,-0.81,0.0,-0.81,0.0,-0.81,0.0
214,-0.7999999999999998,0.0,-0.7999999999999998,0.0,-0.7999999999999998,0.0,-0.7999999999999998,0.0,-0.7999999999999998,0.0
215,-0.79,0.0,-0.79,0.0,-0.79,0.0,-0.79,0.0,-0.79,0.0
216,-0.7799999999999998,0.0,-0.7799999999999998,0.0,-0.7799999999999998,0.0,-0.7799999999999998,0.0,-0.7799999999999998,0.0
217,-0.77,0.0,-0.77,0.0,-0.77,0.0,-0.77,0.0,-0.77,0.0
218,-0.7599999999999998,0.0,-0.7599999999999998,3.333333333333333,-0.7599999999999998,0.0,-0.7599999999999998,0.0,-0.7599999999999998,3.333333333333333
219,-0.75,0.0,-0.75,3.333333333333333,-0.75,0.0,-0.75,3.333333333333333,-0.75,3.333333333333333
220,-0.7399999999999998,3.333333333333333,-0.7399999999999998,3.333333333333333,-0.7399999999999998,0.0,-0.7399999999999998,3.333333333333333,-0.7399999999999998,3.333333333333333
221,-0.73,3.333333333333333,-0.73,3.333333333333333,-0.73,0.0,-0.73,3.333333333333333,-0.73,3.333333333333333
222,-0.7199999999999998,3.333333333333333,-0.7199999999999998,3.333333333333333,-0.7199999999999998,0.0,-0.7199999999999998,3.333333333333333,-0.7199999999999998,3.333333333333333
223,-0.71,3.333333333333333,-0.71,3.333333333333333,-0.71,0.0,-0.71,3.333333333333333,-0.71,6.666666666666666
224,-0.6999999999999997,6.666666666666666,-0.6999999999999997,3.333333333333333,-0.6999999999999997,3.333333333333333,-0.6999999999999997,3.333333333333333,-0.6999999999999997,6.666666666666666
225,-0.69,6.666666666666666,-0.69,3.333333333333333,-0.69,3.333333333333333,-0.69,3.333333333333333,-0.69,3.333333333333333
226,-0.6799999999999997,6.666666666666666,-0.6799999999999997,3.333333333333333,-0.6799999999999997,3.333333333333333,-0.6799999999999997,3.333333333333333,-0.6799999999999997,3.333333333333333
227,-0.6699999999999999,6.666666666666666,-0.6699999999999999,3.333333333333333,-0.6699999999999999,3.333333333333333,-0.6699999999999999,3.333333333333333,-0.6699999999999999,3.333333333333333
228,-0.6599999999999997,6.666666666666666,-0.6599999999999997,3.333333333333333,-0.6599999999999997,3.333333333333333,-0.6599999999999997,3.333333333333333,-0.6599999999999997,3.333333333333333
229,-0.6499999999999999,10.0,-0.6499999999999999,3.333333333333333,-0.6499999999999999,3.333333333333333,-0.6499999999999999,6.666666666666666,-0.6499999999999999,3.333333333333333
230,-0.6399999999999997,10.0,-0.6399999999999997,3.333333333333333,-0.6399999999999997,3.333333333333333,-0.6399999999999997,6.666666666666666,-0.6399999999999997,6.666666666666666
231,-0.6299999999999999,10.0,-0.6299999999999999,6.666666666666666,-0.6299999999999999,3.333333333333333,-0.6299999999999999,6.666666666666666,-0.6299999999999999,6.666666666666666
232,-0.6200000000000001,10.0,-0.6200000000000001,6.666666666666666,-0.6200000000000001,3.333333333333333,-0.6200000000000001,6.666666666666666,-0.6200000000000001,6.666666666666666
233,-0.6099999999999999,10.0,-0.6099999999999999,6.666666666666666,-0.6099999999999999,6.666666666666666,-0.6099999999999999,10.0,-0.6099999999999999,6.666666666666666
234,-0.6000000000000001,10.0,-0.6000000000000001,6.666666666666666,-0.6000000000000001,6.666666666666666,-0.6000000000000001,10.0,-0.6000000000000001,10.0
235,-0.5899999999999999,10.0,-0.5899999999999999,6.666666666666666,-0.5899999999999999,10.0,-0.5899999999999999,10.0,-0.5899999999999999,10.0
236,-0.5800000000000001,10.0,-0.5800000000000001,6.666666666666666,-0.5800000000000001,10.0,-0.5800000000000001,10.0,-0.5800000000000001,10.0
